City,CityState,lon,lat
Sioux City,"Sioux City, IA",-96.40494079999999,42.4963416
Council Bluffs,"Council Bluffs, IA",-95.8608333,41.2619444
Hawarden,"Hawarden, IA",-96.4891976,42.9963772
Sidney,"Sidney, IA",-95.64749590000001,40.7483337
Onawa,"Onawa, IA",-96.0972376,42.0266548
Glenwood,"Glenwood, IA",-95.7425056,41.0469437
Akron,"Akron, IA",-96.5594773,42.8288818
Sioux Center,"Sioux Center, IA",-96.1756935,43.0797991
Le Mars,"Le Mars, IA",-96.1655778,42.79415669999999
Sergeant Bluff,"Sergeant Bluff, IA",-96.3588424,42.40298019999999
Rock Valley,"Rock Valley, IA",-96.2950263,43.2052594
Orange City,"Orange City, IA",-96.0583523,43.0072087
Storm Lake,"Storm Lake, IA",-95.2019399,42.6430359
Atlantic,"Atlantic, IA",-95.0138776,41.4036007
Cherokee,"Cherokee, IA",-95.55154309999999,42.7496413
Red Oak,"Red Oak, IA",-95.2214477,41.0170937
Ida Grove,"Ida Grove, IA",-95.47162349999999,42.3462987
Spencer,"Spencer, IA",-95.144318,43.1450748
Mapleton,"Mapleton, IA",-95.7930621,42.1658227
Harlan,"Harlan, IA",-95.32555409999999,41.653044
Shenandoah,"Shenandoah, IA",-95.3761506,40.7667389
Sibley,"Sibley, IA",-95.7516395,43.3999861
Denison,"Denison, IA",-95.3588867,42.024988
Clarinda,"Clarinda, IA",-95.038313,40.7419352
Sheldon,"Sheldon, IA",-95.8569539,43.1812107
Lake View,"Lake View, IA",-95.05332399999999,42.3116499
Okoboji,"Okoboji, IA",-95.1483293,43.3863521
Fort Dodge,"Fort Dodge, IA",-94.16801579999999,42.4974694
Laurens,"Laurens, IA",-94.85192959999999,42.8466398
Rockwell City,"Rockwell City, IA",-94.63386709999999,42.3952576
Carroll,"Carroll, IA",-94.86727929999999,42.0655986
Guthrie,"Guthrie, IA",-94.479976,41.7530909
Algona,"Algona, IA",-94.233019,43.0699663
Perry,"Perry, IA",-94.10717969999999,41.8385964
Ames,"Ames, IA",-93.63191309999999,42.0307812
Boone,"Boone, IA",-93.8802273,42.0597047
Story City,"Story City, IA",-93.5955532,42.1871601
Adel,"Adel, IA",-94.017453,41.6144325
Hampton,"Hampton, IA",-93.21034019999999,42.7425009
Knoxville,"Knoxville, IA",-93.09966999999999,41.320343
Osceola,"Osceola, IA",-93.766759,41.0342618
Clarion,"Clarion, IA",-93.732992,42.7316387
Lake Mills,"Lake Mills, IA",-93.5325269,43.419329
Des Moines,"Des Moines, IA",-93.6091064,41.6005448
Clear Lake,"Clear Lake, IA",-93.3788108,43.1435564
Waukee,"Waukee, IA",-93.8855768,41.6119903
Indianola,"Indianola, IA",-93.5574376,41.3580484
Webster City,"Webster City, IA",-93.8159149,42.4694321
Eldora,"Eldora, IA",-93.10575759999999,42.3680382
Leon,"Leon, IA",-93.7477217,40.739724
Marshalltown,"Marshalltown, IA",-92.90803749999999,42.0494674
Newton,"Newton, IA",-93.05735330000002,41.7033177
Nevada,"Nevada, IA",-93.4523014,42.0227184
Vinton,"Vinton, IA",-92.01856509999999,42.1646477
Tama,"Tama, IA",-92.576753,41.9627392
Pella,"Pella, IA",-92.91640500000001,41.4080327
Mason City,"Mason City, IA",-93.20103669999999,43.1535728
Grinnell,"Grinnell, IA",-92.7232456,41.74340919999999
Osage,"Osage, IA",-92.8190838,43.2841382
Waverly,"Waverly, IA",-92.4668511,42.7272032
Northwood,"Northwood, IA",-93.22103709999999,43.4441245
Altoona,"Altoona, IA",-93.47508359999999,41.6435514
Waterloo,"Waterloo, IA",-92.34257749999999,42.492786
Mt. Vernon,"Mt. Vernon, IA",-91.4168371,41.9219522
Fairfield,"Fairfield, IA",-91.9636914,41.00761139999999
Independence,"Independence, IA",-91.8893386,42.4685978
Ottumwa,"Ottumwa, IA",-92.40830220000001,41.01602930000001
Belle Plaine,"Belle Plaine, IA",-92.27574039999999,41.8955529
Amana,"Amana, IA",-91.8781829,41.8025421
Decorah,"Decorah, IA",-91.7857092,43.30330559999999
Marion,"Marion, IA",-91.5968958,42.033279
Bloomfield,"Bloomfield, IA",-92.41490739999999,40.75168840000001
Hiawatha,"Hiawatha, IA",-91.6815252,42.0491958
North Liberty,"North Liberty, IA",-91.60809739999999,41.739482
Monticello,"Monticello, IA",-91.18709369999999,42.23833510000001
Mt. Pleasant,"Mt. Pleasant, IA",-91.54877139999999,40.9716959
Iowa City,"Iowa City, IA",-91.5301683,41.6611277
Maquoketa,"Maquoketa, IA",-90.6656914,42.0689088
West Union,"West Union, IA",-91.8082167,42.9627564
Dyersville,"Dyersville, IA",-91.1140899,42.4836415
Coralville,"Coralville, IA",-91.5960643,41.6822756
Waukon,"Waukon, IA",-91.47569500000002,43.2694208
Dubuque,"Dubuque, IA",-90.66457179999999,42.5005583
Fort Madison,"Fort Madison, IA",-91.31453499999999,40.6297634
Muscatine,"Muscatine, IA",-91.0432051,41.424473
Lansing,"Lansing, IA",-91.218768,43.3609053
Clinton,"Clinton, IA",-90.1887379,41.8444735
Burlington,"Burlington, IA",-91.1128901,40.8076529
Guttenberg,"Guttenberg, IA",-91.1029068,42.7899897
Keokuk,"Keokuk, IA",-91.3963966,40.4044731
Bellevue,"Bellevue, IA",-90.4257531,42.25889360000001
Sabula,"Sabula, IA",-90.1740169,42.07113469999999
Le Claire,"Le Claire, IA",-90.3462215,41.5975061
Rock Rapids,"Rock Rapids, IA",-96.17585980000001,43.4271945
Missouri Valley,"Missouri Valley, IA",-95.8877767,41.5563713
Guthrie Center,"Guthrie Center, IA",-94.50330439999999,41.6772087
Estherville,"Estherville, IA",-94.8391532,43.4013478
Creston,"Creston, IA",-94.3613474,41.0586002
Audubon,"Audubon, IA",-94.93248679999999,41.7180421
Winterset,"Winterset, IA",-94.0138393,41.3308237
Bedford,"Bedford, IA",-94.721358,40.666932
Greenfield,"Greenfield, IA",-94.4613543,41.3052657
Jefferson,"Jefferson, IA",-94.3774232,42.0172457
Forest City,"Forest City, IA",-93.6371937,43.2624685
Oelwein,"Oelwein, IA",-91.91195859999999,42.6784949
Centerville,"Centerville, IA",-92.8738196,40.7290565
Sigourney,"Sigourney, IA",-92.20462549999999,41.3333445
Cedar Rapids,"Cedar Rapids, IA",-91.6656232,41.9778795
Cresco,"Cresco, IA",-92.1140547,43.3813568
Marengo,"Marengo, IA",-92.0696253,41.7927817
Keosauqua,"Keosauqua, IA",-91.96239489999999,40.7303057
Tipton,"Tipton, IA",-91.1279349,41.7697434
Anamosa,"Anamosa, IA",-91.28515940000001,42.1083371
Fayette,"Fayette, IA",-91.8021071,42.84192549999999
Lake City,"Lake City, IA",-94.7338704,42.2674828
Camp Dodge,"Camp Dodge, IA",-93.70744359999999,41.6997103
Iowa Falls,"Iowa Falls, IA",-93.26457409999999,42.51988679999999
Ankeny,"Ankeny, IA",-93.6001278,41.7317884
Charles City,"Charles City, IA",-92.6724112,43.0663612
Chariton,"Chariton, IA",-93.31409850000001,41.0199996
Oskaloosa,"Oskaloosa, IA",-92.6493595,41.2916728
Cedar Falls,"Cedar Falls, IA",-92.4453161,42.5348993
Williamsburg,"Williamsburg, IA",-92.0090673,41.6611187
New Hampton,"New Hampton, IA",-92.317864,43.0592724
Davenport,"Davenport, IA",-90.5776367,41.5236437
Wapello,"Wapello, IA",-91.1854273,41.18141929999999
Elkader,"Elkader, IA",-91.4054159,42.8538739
Manchester,"Manchester, IA",-91.4579698,42.4857853
Washington,"Washington, IA",-91.69164169999999,41.30140770000001
Humboldt,"Humboldt, IA",-94.2152402,42.7208047
Emmetsburg,"Emmetsburg, IA",-94.68303569999999,43.1127427
Tama/Toledo,"Tama/Toledo, IA",-92.5835266,41.9972134
Grundy Center,"Grundy Center, IA",-92.7685327,42.3616501
